Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.340,-0.067,11.119,-0.122,0.579,-0.274,24.530,22.600,100957.000,30.683
0.388,-0.048,11.128,-0.030,0.335,-0.183,24.577,22.600,100963.000,30.766
0.383,-0.120,11.061,-0.366,0.396,-0.244,24.624,22.500,100960.000,30.265
0.378,-0.148,11.104,-0.061,0.610,7.652,24.483,22.600,100959.000,30.516
0.350,-0.072,11.138,-0.213,0.427,-0.061,24.577,22.600,100951.000,31.184
0.326,-0.091,11.061,-0.213,0.396,-0.152,24.577,22.600,100963.000,30.432
0.311,-0.067,11.109,-0.244,0.366,-0.061,24.624,22.600,100957.000,31.184
0.350,-0.057,11.171,-0.183,0.366,-0.183,24.624,22.500,100948.000,30.683
0.330,-0.139,11.109,-0.091,0.488,-0.091,24.671,22.500,100956.000,31.184
0.373,-0.148,11.080,-0.152,0.457,-0.213,24.671,22.600,100951.000,30.933
0.340,-0.086,11.190,0.000,0.366,-0.122,24.577,22.500,100947.000,31.267
0.297,-0.067,11.114,-0.244,0.518,0.091,24.577,22.500,100960.000,31.017
0.340,-0.091,11.076,-0.274,0.305,-0.091,24.671,22.600,100951.000,30.766
0.359,-0.048,11.071,-0.183,0.457,-0.030,24.577,22.500,100959.000,30.265
0.316,-0.096,11.181,-0.030,0.488,-0.335,24.577,22.500,100956.000,31.184
0.330,-0.067,9.878,-0.213,0.274,-7.805,24.577,22.500,100956.000,30.516
0.388,-0.115,11.138,-0.061,0.488,-0.061,24.577,22.600,100948.000,30.766
0.364,-0.043,11.114,-7.805,0.396,-0.152,24.624,22.600,100948.000,30.516
0.335,-0.139,11.109,-0.030,0.244,-7.805,24.530,22.600,100956.000,30.933
0.388,-0.096,11.138,-0.061,0.396,0.030,24.624,22.500,100954.000,31.434
0.330,-0.081,11.171,-0.122,0.244,-0.183,24.624,22.600,100957.000,30.182
0.378,-0.163,11.162,-0.152,0.396,-0.122,24.530,22.600,100965.000,30.766
0.345,-0.038,11.071,-0.122,0.488,-0.274,24.624,22.600,100956.000,30.182
0.330,-0.081,11.138,-0.183,0.427,7.713,24.624,22.600,100959.000,30.933
0.359,-0.148,11.186,-0.274,0.366,-0.091,24.624,22.600,100951.000,31.184
0.340,-0.120,11.195,-0.061,0.518,-0.183,24.530,22.600,100956.000,30.015
0.335,-0.062,11.123,-0.061,0.488,7.652,24.624,22.600,100959.000,30.516
0.345,-0.024,11.133,-7.805,0.335,-0.274,24.483,22.600,100965.000,31.518
0.330,-0.120,11.162,-0.091,0.305,-0.122,24.577,22.600,100951.000,30.766
0.321,-0.139,11.176,-0.183,0.457,-0.091,24.577,22.600,100965.000,30.683
0.340,-0.077,11.119,-0.183,0.396,-0.244,24.624,22.600,100963.000,30.182
0.369,-0.067,11.133,-0.030,0.335,-7.805,24.671,22.600,100954.000,30.265
0.359,-0.091,11.147,-0.061,0.457,-0.244,24.577,22.600,100954.000,30.683
0.383,-0.139,11.152,-0.061,0.274,-0.091,24.577,22.600,100954.000,30.265
